VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspended To Memory,Suspend time,Suspend Interval,Creation date,Change Version,CPUs,Overall Cpu Readiness,Memory,Active Memory,NICs,Disks,Total disk capacity MiB,Fixed Passthru HotPlug,min Required EVC Mode Key,Latency Sensitivity,Op Notification Timeout,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Vm Failover In Progress,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,Customization Info,Guest Detailed Data,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID
exmpl-kestrel-0196,poweredOff,False,False,green,exmplkestrel0196.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,2,,4096,0,1,5,921600,False,,normal,,TRUE,,10.20.1.1,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,524288,262144,262143,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d302d/exmpl-kestrel-0196.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d302d/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Microsoft Windows 10 (64-bit),Microsoft Windows 10 (64-bit),IDLE,,vm-4000,09fdfebf-b90a-db56-3fbf-1e87543f8520,295f9e5f-f1c7-2a24-ebdd-e0f3e1fac110,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0004,poweredOn,False,False,green,exmplkestrel0004.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,2,,9216,0,1,5,921600,False,,normal,,TRUE,,10.20.1.4,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,1179665,589832,589831,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d312d/exmpl-kestrel-0004.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d312d/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Microsoft Windows 11 (64-bit),Microsoft Windows 11 (64-bit),IDLE,,vm-4001,fbedd4e9-0945-a10a-bbdf-72919083e1f4,524f2642-6c18-f46a-10c7-43300c7ac1a0,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0089,poweredOn,False,False,green,exmplkestrel0089.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,4,,18432,0,1,5,921600,False,,normal,,TRUE,,10.20.2.7,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,2359330,1179665,1179664,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d322d/exmpl-kestrel-0089.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d322d/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Red Hat Enterprise Linux 8.6 (64-bit),Red Hat Enterprise Linux 8.6 (64-bit),IDLE,,vm-4002,a8537647-74cc-a4f3-338c-7a47de8896c4,7cf6eb16-e70c-0eba-f016-0deecaf2c0d3,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0148,poweredOff,False,False,green,exmplkestrel0148.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,4,,35840,0,1,5,921600,False,,normal,,TRUE,,10.20.2.10,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,4587571,2293785,2293784,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d332d/exmpl-kestrel-0148.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d332d/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Red Hat Enterprise Linux 9.2 (64-bit),Red Hat Enterprise Linux 9.2 (64-bit),IDLE,,vm-4003,0c9f4155-1e39-983f-8388-2989ca2bf6d9,4e55a5e5-83ab-fa83-8209-f6b0f3577e3b,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0117,poweredOn,False,False,green,exmplkestrel0117.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,8,,36864,0,1,5,921600,False,,normal,,TRUE,,10.20.3.13,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,4718660,2359330,2359329,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d342d/exmpl-kestrel-0117.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d342d/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Rocky Linux 9.3 (64-bit),Rocky Linux 9.3 (64-bit),IDLE,,vm-4004,7ea3938c-0ddf-19b0-f9a1-17bde0daf9ea,7f68051d-d631-9800-39a9-596a82c0039c,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0057,poweredOn,False,False,green,exmplkestrel0057.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,8,,65536,0,1,5,921600,False,,normal,,TRUE,,10.20.3.16,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,8388693,4194346,4194345,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d352d/exmpl-kestrel-0057.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d352d/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,AlmaLinux 8.8 (64-bit),AlmaLinux 8.8 (64-bit),IDLE,,vm-4005,171e1eb4-d209-de98-d1e1-3bbec6d4b433,af8becde-6cc4-d41a-4d22-d507b54cd1d2,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0183,poweredOff,False,False,green,exmplkestrel0183.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,16,,132096,0,1,5,921600,False,,normal,,TRUE,,10.20.4.19,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,16908390,8454195,8454194,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d362d/exmpl-kestrel-0183.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d362d/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Fedora Linux 39 (64-bit),Fedora Linux 39 (64-bit),IDLE,,vm-4006,1493b7b4-9700-154f-efae-003246981ae6,680e777b-1c94-9ec0-05be-1ee9fa972995,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0115,poweredOn,False,False,green,exmplkestrel0115.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,3,,6144,0,1,5,921600,False,,normal,,TRUE,,10.20.4.22,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,786551,393275,393274,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d372d/exmpl-kestrel-0115.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d372d/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Kali GNU/Linux 2023.4 (64-bit),Kali GNU/Linux 2023.4 (64-bit),IDLE,,vm-4007,2a74e555-8f77-4331-e457-1b916a8e8ae3,fcaaf2b5-ad9d-bb31-439f-1b6dac70df24,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0154,poweredOn,False,False,green,exmplkestrel0154.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,3,,11264,0,1,5,921600,False,,normal,,TRUE,,10.20.5.25,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,1441928,720964,720963,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d382d/exmpl-kestrel-0154.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d382d/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Gentoo Linux (64-bit),Gentoo Linux (64-bit),IDLE,,vm-4008,ec2066f4-251d-0dc2-d82c-0d8f90b94292,179e4fec-4d66-2249-da76-662c9be3fb27,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0186,poweredOff,False,False,green,exmplkestrel0186.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,5,,20480,0,1,5,921600,False,,normal,,TRUE,,10.20.5.28,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,2621593,1310796,1310795,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d392d/exmpl-kestrel-0186.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d392d/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Solaris 11.4 (64-bit),Solaris 11.4 (64-bit),IDLE,,vm-4009,d8338d80-d62f-2ffc-9e39-2e4f74fd23d4,6336f8fd-3724-9e34-acbb-96ac4f6bc550,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
